Component	Points possible	Description
part_c.cpp	0.25	Contains a correctly written main function with appropriate return type and return value
part_c.cpp	0.25	git log contains an initial version of file that contains a correctly written minimal C++ program
part_c.cpp	0.25	git log contains multiple versions of this file with descriptive log entries that were committed as the file was developed
part_c.cpp	0.25	Imports iostream library
part_c.cpp	0.25	"Uses 'using' syntax to make cin, cout, endl, and string available from std namespace"
part_c.cpp	2	Defines the required variables using the required names and correct types
part_c.cpp	0.5	Uses cout to present user with requisite prompts
part_c.cpp	0.5	Uses cin to read user input into appropriate variables
part_c.cpp	3	Uses appropriate arithmetic operators to calculate required values
part_c.cpp	2	Safely casts double values to integers where appropriate
part_c.cpp	3	Uses cout to present user with results in required format
part_c.cpp	0.25	Contains no superfluous code
part_c.cpp	0.25	Code is well-formatted
part_c.cpp	0.25	"Appropriate comment at beginning of file provides student name, course number, date, and brief description of program"
